control_id,control_name,control_objective,control_type,risk_category,control_description,evidence_required,testing_frequency,control_owner,mapped_framework
CTRL-001,AI use-case intake approval,"Ensure every AI use case is inventoried, risk-ranked, owned, and approved before development or deployment.",Process control,Governance,"Mandatory intake form, ownership assignment, preliminary risk tiering, and approval routing.",Completed intake record and approval decision,Per use case and annual refresh,AI Risk Management Office,NIST AI RMF Govern; ISO/IEC 42001 Planning
CTRL-002,Data quality review,"Confirm that data is complete, accurate, representative, traceable, and fit for intended AI use.",Preventive,Data quality,"Data profiling, lineage review, missingness checks, outlier analysis, and data quality issue logging.",Data quality report and issue resolution evidence,Before launch and quarterly,Data Owner,NIST AI RMF Map; ISO/IEC 23894 Risk Identification
CTRL-003,Privacy impact review,"Assess privacy, consent, data minimization, purpose limitation, retention, and disclosure risks.",Preventive,Data privacy,Privacy checklist and impact assessment for use cases involving personal information.,Privacy checklist or privacy impact assessment,Before launch and material change,Privacy Reviewer,Privacy/security controls; ISO/IEC 42001 Support
CTRL-004,Security review,"Validate secure architecture, access control, encryption, logging, vulnerability management, and threat model coverage.",Preventive,Security,"Security-by-design review for AI systems, integrations, APIs, and vendor connections.",Security assessment and remediation record,Before launch and annual,Security Reviewer,NIST AI RMF Govern; ISO/IEC 42001 Operation
CTRL-005,Vendor AI review,"Assess third-party AI governance, data handling, explainability, contractual protections, and audit rights.",Preventive,Third-party/vendor risk,"Vendor questionnaire, model transparency review, data residency confirmation, and contractual control mapping.",Vendor review record and contract control evidence,Before onboarding and annual,Third-Party Risk Reviewer,ISO/IEC 42001 Supplier Management; ISO/IEC 23894 Risk Treatment
CTRL-006,Bias/fairness review,Identify and mitigate potential unfair outcomes or disparate impact.,Preventive,Fairness and bias,"Fairness metric selection, protected/proxy variable review, segmented testing, and mitigation plan.",Fairness test results and mitigation sign-off,Before launch and quarterly,Model Risk Reviewer,NIST AI RMF Measure; ISO/IEC 23894 Risk Analysis
CTRL-007,Explainability documentation,"Document model purpose, drivers, limitations, interpretability approach, and user-facing explanation requirements.",Process control,Explainability,"Model card or system card with intended use, limitations, feature drivers, and explanation design.",Approved model card or system card,Before launch and annual,Model Owner,NIST AI RMF Map and Measure; ISO/IEC 42001 Documentation
CTRL-008,Human oversight checkpoint,"Ensure high-risk outputs are reviewed, overridden, or escalated by accountable humans.",Human-in-the-loop,Human oversight,"Defined review thresholds, escalation paths, override procedures, and decision logging.",Oversight SOP and sample decision logs,Before launch and monthly sample,Business Owner,NIST AI RMF Manage; ISO/IEC 23894 Risk Treatment
CTRL-009,Model monitoring,"Detect performance degradation, exception trends, and control failures after deployment.",Detective,Model performance,"Ongoing review of model metrics, false positive/negative rates, exceptions, and complaints.",Monitoring dashboard and monthly report,Monthly,Technology Owner,NIST AI RMF Measure and Manage
CTRL-010,Drift monitoring,"Identify changes in data distribution, population, behavior, or model output patterns.",Detective,Model drift,"Population stability, feature drift, prediction drift, and alert thresholds.",Drift report and escalation record,Monthly or real-time for high-risk systems,Model Owner,NIST AI RMF Measure; ISO/IEC 23894 Monitoring
CTRL-011,GenAI guardrail testing,"Validate that GenAI outputs follow policy, remain grounded, and avoid unsafe guidance.",Technical guardrail,Hallucination,"Red-team testing, refusal behavior testing, grounding checks, and unsafe content evaluation.",Guardrail test results and defect log,Before launch and monthly,AI Product Owner,NIST AI RMF Measure and Manage; ISO/IEC 42001 Operation
CTRL-012,Prompt injection testing,Assess whether malicious or manipulative prompts can bypass system instructions or access restricted data.,Technical guardrail,Prompt injection,"Prompt injection test suite covering direct, indirect, jailbreak, and tool manipulation patterns.",Prompt injection test report,Before launch and monthly,Security Reviewer,NIST AI RMF Measure; Security controls
CTRL-013,Audit logging,"Maintain traceable records of AI inputs, outputs, decisions, overrides, approvals, and exceptions.",Detective,Operational risk,"Logging standard covering system events, human decisions, escalations, and evidence retention.",Audit log sample and retention configuration,Continuous with quarterly testing,Technology Owner,ISO/IEC 42001 Documentation and Operation
CTRL-014,Residual risk approval,"Ensure residual risks are explicitly accepted, mitigated, transferred, or escalated by accountable owners.",Process control,Governance,"Risk decision workflow, approval authority, risk acceptance memo, and expiry date.",Risk acceptance memo or committee decision,Per material risk and annual refresh,Risk Owner,NIST AI RMF Govern and Manage; ISO/IEC 23894 Risk Treatment
CTRL-015,Issue escalation,"Ensure AI issues are logged, assigned, remediated, escalated, and closed with evidence.",Corrective,Operational risk,"Severity matrix, SLA, escalation trigger, owner assignment, and closure evidence requirement.",Issue log and closure evidence,Weekly for open high/critical issues,AI Risk Management Office,NIST AI RMF Manage; ISO/IEC 42001 Improvement
CTRL-016,Agent tool permission control,"Restrict agentic AI systems to approved tools, approved data, and approved action boundaries.",Technical guardrail,Unauthorized agent action,"Least-privilege tool access, transaction limits, confirmation requirements, and blocked action categories.",Tool permission matrix and test evidence,Before launch and monthly,Technology Owner,NIST AI RMF Manage; ISO/IEC 42001 Operation
