risk_id,assessment_id,use_case_id,risk_category,risk_description,inherent_impact,inherent_likelihood,inherent_risk_score,existing_controls,control_effectiveness,residual_impact,residual_likelihood,residual_risk_score,residual_risk_rating,risk_decision,reviewer,review_date
RISK-001,ASM-001,UC-001,Fairness and bias,Credit pre-screening may produce disparate outcomes across protected or proxy demographic groups.,5,4,20,"Initial bias review, feature review, adverse impact testing",Moderate,4,3,12,Medium,Mitigate,AI Risk Management Office,2026-06-12
RISK-002,ASM-002,UC-001,Explainability,Applicants and reviewers may not receive clear reasons for model-influenced routing decisions.,4,4,16,Model documentation and reason code design,Moderate,3,3,9,Medium,Mitigate,AI Risk Management Office,2026-06-12
RISK-003,ASM-003,UC-002,Customer harm,Fraud false positives may block legitimate transactions and create customer disruption.,5,4,20,Human review queue and customer dispute process,Strong,3,3,9,Medium,Mitigate,AI Risk Management Office,2026-06-12
RISK-004,ASM-004,UC-002,Model drift,"Fraud patterns may shift, reducing detection accuracy or increasing false positives.",4,5,20,Monthly performance monitoring,Moderate,3,3,9,Medium,Mitigate,AI Risk Management Office,2026-06-12
RISK-005,ASM-005,UC-003,Hallucination,Chatbot may generate inaccurate banking information or unsupported product guidance.,5,4,20,Retrieval grounding and restricted response policy,Moderate,4,3,12,Medium,Mitigate,AI Risk Management Office,2026-06-12
RISK-006,ASM-006,UC-003,Prompt injection,User input may manipulate the model into bypassing instructions or exposing restricted content.,5,4,20,Prompt filtering and red-team testing,Weak,4,4,16,High,Escalate,AI Risk Management Office,2026-06-12
RISK-007,ASM-007,UC-004,Data privacy,Call summaries may retain personal information not required for the business purpose.,5,3,15,PII minimization checklist,Moderate,3,3,9,Medium,Mitigate,AI Risk Management Office,2026-06-12
RISK-008,ASM-008,UC-004,Data quality,Generated summaries may omit key facts or introduce inaccurate records.,4,4,16,Sample QA review,Moderate,3,3,9,Medium,Mitigate,AI Risk Management Office,2026-06-12
RISK-009,ASM-009,UC-005,Data privacy,Personalization may use customer data without clear consent or purpose alignment.,5,3,15,Consent flag validation,Strong,3,2,6,Medium,Mitigate,AI Risk Management Office,2026-06-12
RISK-010,ASM-010,UC-005,Fairness and bias,Campaign targeting may exclude or over-target customer segments unfairly.,4,3,12,Segment outcome review,Moderate,3,2,6,Medium,Mitigate,AI Risk Management Office,2026-06-12
RISK-011,ASM-011,UC-006,Customer harm,Collections prioritization may intensify collections contact for customers in hardship.,5,4,20,Conduct risk review,Moderate,4,3,12,Medium,Escalate,AI Risk Management Office,2026-06-12
RISK-012,ASM-012,UC-006,Fairness and bias,Collections prioritization may create unequal treatment or hardship for vulnerable customers.,5,4,20,Manual review and vulnerable customer policy,Moderate,4,3,12,Medium,Mitigate,AI Risk Management Office,2026-06-12
RISK-013,ASM-013,UC-007,Fairness and bias,Resume screening may disadvantage candidates based on proxies for protected characteristics.,5,4,20,Vendor fairness questionnaire,Weak,4,4,16,High,Escalate,AI Risk Management Office,2026-06-12
RISK-014,ASM-014,UC-007,Third-party/vendor risk,Vendor model details and training data may not be sufficiently transparent.,4,4,16,Third-party intake,Moderate,3,3,9,Medium,Mitigate,AI Risk Management Office,2026-06-12
RISK-015,ASM-015,UC-008,Security,Generated code may introduce insecure patterns or dependency vulnerabilities.,5,4,20,Secure coding review and SAST scanning,Strong,3,3,9,Medium,Mitigate,AI Risk Management Office,2026-06-12
RISK-016,ASM-016,UC-008,Data privacy,"Developers may paste confidential code, credentials, or customer data into the tool.",5,3,15,Usage policy and DLP monitoring,Moderate,4,2,8,Medium,Mitigate,AI Risk Management Office,2026-06-12
RISK-017,ASM-017,UC-009,Unauthorized agent action,Agent may trigger workflow actions without sufficient authorization or human approval.,5,5,25,Tool permission design,Weak,5,4,20,Critical,Escalate,AI Risk Management Office,2026-06-12
RISK-018,ASM-018,UC-009,Prompt injection,External complaint text may manipulate the agent into unsafe workflow behavior.,5,4,20,Prompt injection test suite,Weak,4,4,16,High,Escalate,AI Risk Management Office,2026-06-12
RISK-019,ASM-019,UC-009,Human oversight,Complaint decisions may be finalized without appropriate escalation.,5,4,20,Human-in-the-loop design,Moderate,4,3,12,Medium,Mitigate,AI Risk Management Office,2026-06-12
RISK-020,ASM-020,UC-010,Third-party/vendor risk,Vendor extraction model may not meet internal AI governance and audit expectations.,4,4,16,Vendor AI review and contract clauses,Moderate,3,3,9,Medium,Mitigate,AI Risk Management Office,2026-06-12
RISK-021,ASM-021,UC-010,Data quality,Incorrect extraction may create processing errors or downstream reporting issues.,4,4,16,Sampling QA and exception queue,Moderate,3,3,9,Medium,Mitigate,AI Risk Management Office,2026-06-12
