use_case_id,use_case_name,business_unit,use_case_type,ai_type,genai_flag,agentic_ai_flag,business_owner,technology_owner,risk_owner,data_owner,vendor_involved,customer_impact,decision_impact,lifecycle_stage,approval_status,date_submitted,last_review_date
UC-001,Credit pre-screening model,Retail Lending,Customer decision support,Supervised ML classification,No,No,"Director, Retail Credit Strategy","Manager, Decisioning Platforms","Senior Manager, Model Risk","Lead, Credit Bureau Data",No,High,Influences credit eligibility routing and pre-screening,Pilot,Conditional approval,2026-01-15,2026-05-10
UC-002,Fraud detection model,Fraud Operations,Transaction monitoring,Anomaly detection and supervised ML,No,No,"Director, Fraud Operations","Manager, Fraud Analytics Engineering","Senior Manager, Operational Risk","Lead, Transaction Data",No,High,Flags transactions for review or temporary blocking,Production,Approved with monitoring,2025-11-20,2026-05-28
UC-003,Customer service GenAI chatbot,Digital Banking,Customer interaction,Generative AI large language model,Yes,No,"Director, Digital Client Experience","Manager, Conversational AI","Senior Manager, AI Governance","Lead, Customer Interaction Data",Yes,High,Provides banking guidance and routes service requests,Controlled pilot,Pending risk committee approval,2026-02-05,2026-06-01
UC-004,Call summarization tool,Contact Centre,Employee productivity,Generative AI summarization,Yes,No,"Senior Manager, Contact Centre Operations","Lead, Speech Analytics Platform","Manager, Records and Operational Risk","Lead, Voice and Transcript Data",Yes,Medium,Creates call records used for follow-up and audit review,Pilot,Conditional approval,2026-02-18,2026-05-21
UC-005,Marketing personalization model,Marketing Analytics,Personalization and targeting,Propensity model,No,No,"Director, Marketing Strategy","Manager, Customer Analytics","Senior Manager, Privacy Risk","Lead, Customer Profile Data",No,Medium,Personalizes offers and campaign prioritization,Production,Approved with conditions,2025-12-03,2026-05-17
UC-006,Collections prioritization model,Collections,Customer treatment prioritization,Predictive scoring model,No,No,"Director, Collections Strategy","Manager, Collections Platforms","Senior Manager, Conduct Risk","Lead, Delinquency Data",No,High,Prioritizes collections outreach and treatment paths,Assessment,Not approved,2026-03-04,2026-06-05
UC-007,Internal HR resume screening tool,Human Resources,Internal decision support,NLP classifier,No,No,"Director, Talent Acquisition","Manager, HR Systems","Senior Manager, Employment Risk","Lead, HR Data",Yes,Low,Ranks applicants for recruiter review,Intake,Pending assessment,2026-04-02,2026-05-30
UC-008,AI coding assistant,Technology,Developer productivity,Generative AI code assistant,Yes,No,"Director, Software Engineering","Lead, Developer Platforms","Senior Manager, Technology Risk","Lead, Source Code Governance",Yes,Low,Suggests code and documentation for developer review,Production,Approved with guardrails,2025-10-12,2026-05-24
UC-009,Agentic customer complaint triage workflow,Client Care,Agentic workflow,GenAI agent with workflow tools,Yes,Yes,"Director, Client Care","Manager, Workflow Automation","Senior Manager, AI Governance","Lead, Complaint Management Data",Yes,High,"Classifies complaints, drafts responses, and routes escalations",Design review,Risk review required,2026-04-16,2026-06-10
UC-010,Vendor AI document extraction tool,Commercial Banking Operations,Document processing,Vendor OCR and ML extraction,No,No,"Director, Commercial Operations","Manager, Document Platforms","Senior Manager, Third-Party Risk","Lead, Commercial Document Data",Yes,Medium,Extracts fields from customer documents for operations review,Production,Approved with vendor monitoring,2025-09-25,2026-05-19
